20181030_100001: None, amount: None
20181030_105958: None, amount: None
20181030_115959: buy, amount: 3
20181030_130000: buy, amount: 3
20181030_140000: buy, amount: 3
20181030_145959: buy, amount: 3
20181030_155958: buy, amount: 3
20181030_170001: None, amount: None
20181030_180001: None, amount: None
20181030_185959: None, amount: None
20181030_200001: None, amount: None
20181030_210000: None, amount: None
20181030_215959: None, amount: None
20181030_230001: None, amount: None
20181030_235954: None, amount: None
20181031_010000: None, amount: None
20181031_020000: None, amount: None
20181031_030000: None, amount: None
20181031_035959: None, amount: None
20181031_050001: None, amount: None
20181031_060000: None, amount: None
20181031_070022: None, amount: None
20181031_080002: None, amount: None
20181031_090000: None, amount: None
20181031_095959: None, amount: None
20181031_105957: None, amount: None
20181031_115956: None, amount: None
20181031_125953: None, amount: None
20181031_135953: None, amount: None
20181031_145953: None, amount: None
20181031_155955: None, amount: None
20181031_170001: None, amount: None
20181031_180003: None, amount: None
20181031_190004: None, amount: None
20181031_200002: None, amount: None
20181031_210002: None, amount: None
20181031_220002: None, amount: None
20181031_225955: None, amount: None
20181031_235958: None, amount: None
